,WT1
1184,15.58501922
1185,1.60075026
1186,6.496498717
1187,21.82275573
1188,26.83590593
1189,23.73617184
1190,19.71799801
1191,22.32024392
1192,40.86962442
1193,86.15860082
1194,147.6156993
1195,170.3634834
1196,166.9357351
1197,158.8337846
1198,115.8432016
1199,77.78324797
1200,61.92485527
1201,50.03106074
1202,44.40561738
1203,45.74500866
1204,43.65555827
1205,33.91554553
1206,15.16406767
1207,3.160594406
1208,0
1209,10.94437113
1210,39.19657399
1211,68.19320644
1212,73.76507414
1213,74.89016282
1214,70.12192987
1215,62.83564134
1216,58.54958925
1217,58.01383274
1218,57.21019798
1219,30.05044499
1220,27.21858915
1221,33.87727721
1222,51.10257376
1223,73.06859068
1224,94.42729186
1225,91.69862382
1226,76.28312974
1227,65.19296998
1228,59.72825358
1229,67.60387428
1230,94.67535259
1231,119.7294864
1232,156.7563614
1233,233.1239325
1234,243.1912347
1235,231.7763409
1236,196.7467581
1237,122.871589
1238,72.10422896
1239,45.42355475
1240,33.45632567
1241,33.11191077
1242,41.56610788
1243,30.50966486
1244,41.67325918
1245,71.08629159
1246,99.05775884
1247,104.5150949
1248,82.0242553
1249,59.29964837
1250,37.24488956
1251,23.31522029
1252,19.67972969
1253,23.8509768
1254,34.41303372
1255,39.85168705
1256,68.35393339
1257,236.4532765
1258,246.784797
1259,231.4592605
1260,192.0725559
1261,155.5099075
1262,134.1170088
1263,120.6390424
1264,114.5202111
1265,116.6700707
1266,122.3754676
1267,77.67609667
1268,132.8767052
1269,229.7153184
1270,246.2599743
1271,248.6462775
1272,248.0230505
1273,245.8335558
1274,240.0600659
1275,224.7213023
1276,213.2622725
1277,180.3351148
1278,141.4873009
1279,128.9077335
1280,126.5925
1281,241.3283874
1282,249.5565169
1283,239.9807958
1284,160.1841097
1285,84.75292334
1286,63.26424654
1287,63.5321248
1288,75.90810018
1289,94.17923113
1290,99.38850648
1291,48.15591296
1292,30.85407976
1293,29.13200526
1294,32.11693439
1295,44.88779824
1296,46.70937038
1297,47.995186
1298,54.69214238
1299,39.7981114
1300,27.86915063
1301,19.79453465
1302,14.93445774
1303,16.84787385
1304,37.70410942
1305,100.711497
1306,146.2653742
1307,113.693342
1308,77.24749146
1309,56.78159277
1310,40.2267166
1311,30.70100647
1312,26.22361278
1313,25.49651466
1314,26.41495439
1315,10.48105109
1316,19.02916821
1317,41.72683483
1318,84.83561026
1319,123.9465189
1320,146.8886012
1321,134.3650696
1322,110.3031787
1323,67.60387428
1324,55.49577715
1325,61.65697701
1326,66.10375605
1327,64.55006217
1328,80.86663856
1329,221.5504985
1330,245.7597526
1331,244.6199033
1332,220.5596223
1333,135.9361209
1334,67.92532818
1335,31.12195801
1336,9.662519013
1337,2.326618328
1338,0.31889814
1339,2.620054355
1340,10.41927508
1341,27.79261399
1342,41.45895658
1343,45.85215996
1344,39.53023314
1345,27.71607734
1346,16.65653224
1347,19.29704647
1348,22.77946378
1349,25.2286364
1350,25.99400284
1351,28.02222392
1352,71.46132115
1353,248.7856835
1354,250
1355,250
1356,250
1357,250
1358,250
1359,250
1360,250
1361,250
1362,250
1363,245.7843537
1364,241.9625482
1365,242.0814533
1366,244.9889193
1367,233.3617428
1368,220.7181625
1369,200.3822487
1370,178.0499492
1371,172.0254219
1372,177.5305934
1373,184.2822188
1374,197.6815985
1375,203.9138681
1376,234.392254
1377,250
1378,250
1379,250
1380,250
1381,250
1382,250
1383,250
1384,250
1385,250
1386,250
1387,246.415781
1388,235.4624003
1389,245.2349299
1390,246.1779707
1391,243.9839356
1392,227.733566
1393,193.7344944
1394,180.5428571
1395,149.2776379
1396,141.4873009
1397,140.6563316
1398,142.9414971
1399,157.171846
1400,228.0506464
1401,250
1402,250
1403,250
1404,250
1405,250
1406,246.7929973
1407,238.2368537
1408,225.0383827
1409,216.3186722
1410,200.7977333
1411,110.7993001
1412,116.5873838
1413,180.7505994
1414,199.966764
1415,205.9912913
1416,168.3899313
1417,86.65472228
1418,49.38815293
1419,36.05857157
1420,33.11191077
1421,31.16022634
1422,31.2750313
1423,31.65771452
1424,56.83516842
1425,233.1635676
1426,250
1427,249.3679087
1428,244.5132987
1429,223.1359004
1430,191.9686847
1431,170.0518699
1432,168.805416
1433,180.8544706
1434,196.6428869
1435,136.1014947
1436,147.2002147
1437,225.1572879
1438,240.8131318
1439,234.8678746
1440,220.8370676
1441,170.1557411
1442,135.3573125
1443,120.9697901
1444,107.8225713
1445,88.47383431
1446,71.35416985
1447,62.08558222
1448,89.30070342
1449,250
1450,250
1451,250
1452,245.7351515
1453,222.7395499
1454,176.8034953
1455,145.7460184
1456,138.9128496
1457,148.3427974
1458,164.9621831
1459,119.8948603
1460,131.222967
1461,178.1538204
1462,147.3040858
1463,116.6700707
1464,109.062875
1465,93.9311704
1466,75.74737323
1467,65.13939433
1468,57.21019798
1469,48.90597207
1470,41.40538093
1471,36.17337654
1472,72.10422896
1473,250
1474,250
1475,250
1476,245.2103288
1477,218.1418844
1478,162.6770175
1479,127.2539953
1480,110.2204917
1481,104.1843473
1482,106.9130153
1483,62.51418743
1484,74.247255
1485,134.861191
1486,190.0990038
1487,221.3126882
1488,226.068894
1489,201.3170891
1490,163.5079868
1491,128.5769858
1492,90.62369398
1493,52.49554069
1494,22.32024392
1495,5.832406655
1496,1.013878205
1497,62.72849003
1498,133.8689481
1499,91.61593691
1500,62.40703613
1501,46.33434082
1502,39.27311063
1503,38.85215909
1504,41.72683483
1505,47.29870254
1506,55.33505019
1507,36.74740137
1508,60.21043444
1509,106.0861462
1510,100.9595578
1511,68.08605514
1512,29.28507855
1513,7.577578818
1514,0
1515,0
1516,0
1517,0
1518,0
1519,2.0331823
1520,11.02159114
1521,85.24904481
1522,213.2622725
1523,197.1622427
1524,151.8744169
1525,115.0990195
1526,88.80458195
1527,72.53283417
1528,63.80000305
1529,57.90668144
1530,51.37045202
1531,20.17721788
1532,16.92441049
1533,48.04876165
1534,85.33173172
1535,88.47383431
1536,57.74595449
1537,21.63141412
1538,9.044758955
1539,5.2455346
1540,1.353646237
1541,0
1542,0
1543,0
1544,16.27384902
1545,68.13963079
1546,103.1921044
1547,77.24749146
1548,61.49625006
1549,58.6031649
1550,59.99613183
1551,64.01430566
1552,75.53307063
1553,105.341964
1554,146.6808589
1555,139.9292335
1556,138.4994151
1557,175.5570414
1558,162.1576617
1559,112.5357252
1560,62.88921699
1561,32.6526909
1562,14.20735962
1563,8.411554896
1564,6.944374759
1565,9.492634997
1566,21.55487747
1567,37.6658411
