,DT
1088,104.9302833
1089,114.38345
1090,125.6355
1091,141.2653333
1092,133.1373333
1093,150.2528333
1094,132.2127333
1095,127.5065
1096,139.0441667
1097,138.9755
1098,106.1241333
1099,121.3726
1100,133.9466667
1101,131.1366667
1102,133.0233333
1103,115.1153333
1104,94.87783333
1105,85.76583333
1106,82.81483333
1107,76.44883333
1108,72.78066667
1109,79.485
1110,72.86066667
1111,77.1395
1112,85.68783333
1113,102.9893833
1114,114.4238333
1115,107.4278333
1116,98.9165
1117,115.5346667
1118,108.5146667
1119,103.4041667
1120,108.0926667
1121,86.35266667
1122,84.94083333
1123,95.385
1124,113.0666667
1125,115.3816667
1126,110.0133333
1127,97.20683333
1128,82.38066667
1129,83.2
1130,79.9503
1131,77.38925
1132,74.90523333
1133,72.48848333
1134,73.06915
1135,81.97716667
1136,86.35143333
1137,124.7066667
1138,126.0541667
1139,138.9276667
1140,122.3256667
1141,96.262
1142,99.17018333
1143,99.87645
1144,98.48336667
1145,79.583
1146,94.81633333
1147,96.40766667
1148,130.8583333
1149,128.0833333
1150,120.8666667
1151,117.0916667
1152,91.72583333
1153,78.79166667
1154,78.74916667
1155,76.0575
1156,73.78583333
1157,72.05333333
1158,75.95333333
1159,86.08183333
1160,83.84666667
1161,88.69433333
1162,93.61983333
1163,95.687
1164,89.89306667
1165,108.7160167
1166,99.22118333
1167,103.5821833
1168,101.4634667
1169,80.65801667
1170,85.39151667
1171,109.46075
1172,123.1178333
1173,120.9548333
1174,115.0098333
1175,100.8593
1176,89.27208333
1177,93.1045
1178,84.17631667
1179,76.41051667
1180,81.23673333
1181,76.53823333
1182,79.08396667
1183,80.01655
1184,104.9302833
1185,114.38345
1186,125.6355
1187,141.2653333
1188,133.1373333
1189,150.2528333
1190,132.2127333
1191,127.5065
1192,139.0441667
1193,138.9755
1194,106.1241333
1195,121.3726
1196,133.9466667
1197,131.1366667
1198,133.0233333
1199,115.1153333
1200,94.87783333
1201,89.03695
1202,82.25886667
1203,77.9382
1204,77.69626667
1205,80.69858333
1206,78.99533333
1207,82.57875
1208,107.2212
1209,113.9985833
1210,138.3308333
1211,132.8605
1212,135.3635
1213,135.3878333
1214,128.0948
1215,122.9334667
1216,122.9443333
1217,124.9717333
1218,138.4435
1219,127.2045
1220,144.0003333
1221,128.7733333
1222,117.9166667
1223,112.3501333
1224,91.9542
1225,88.98
1226,81.79833333
1227,80.94416667
1228,80.74416667
1229,80.16916667
1230,81.0187
1231,85.6928
1232,108.2027333
1233,150.8083333
1234,147.9925
1235,147.3616667
1236,140.2283333
1237,126.2421667
1238,100.0624167
1239,86.06166667
1240,110.2276667
1241,119.3451667
1242,116.9883333
1243,120.0308333
1244,135.6775
1245,130.25
1246,119.325
1247,112.2916667
1248,92.06666667
1249,106.4013333
1250,94.55753333
1251,89.031
1252,87.91466667
1253,86.938
1254,105.6511667
1255,105.4081667
1256,98.769
1257,107.8795
1258,134.713
1259,122.5142333
1260,147.0905
1261,133.0553333
1262,138.2487167
1263,126.4658333
1264,127.7111667
1265,141.4086667
1266,120.131
1267,116.3046667
1268,111.0143833
1269,130.0738333
1270,128.1886667
1271,110.7183
1272,100.3186333
1273,87.51216667
1274,78.87901667
1275,84.50696667
1276,83.72121667
1277,79.43341667
1278,89.42148333
1279,94.1582
1280,95.8932
1281,127.9378333
1282,138.0685
1283,124.983
1284,116.0829667
1285,163.086
1286,142.7195
1287,106.4696667
1288,147.7065
1289,135.6908833
1290,113.1252333
1291,130.5091667
1292,147.7908333
1293,128.842
1294,111.5216667
1295,94.50733333
1296,101.60325
1297,80.02216667
1298,78.356
1299,79.55933333
1300,78.67178333
1301,75.67505
1302,73.92843333
1303,81.58463333
1304,86.22641667
1305,101.26475
1306,108.9525667
1307,106.5563833
1308,105.7329
1309,111.29475
1310,107.81495
1311,101.8581
1312,95.90535
1313,85.68135
1314,86.0682
1315,110.1814667
1316,123.9218333
1317,120.8316667
1318,114.0516667
1319,107.3128333
1320,89.97086667
1321,85.76583333
1322,82.81483333
1323,76.44883333
1324,72.78066667
1325,79.485
1326,72.86066667
1327,77.1395
1328,85.68783333
1329,102.9893833
1330,114.4238333
1331,107.4278333
1332,98.9165
1333,115.5346667
1334,108.5146667
1335,103.4041667
1336,108.0926667
1337,86.35266667
1338,84.94083333
1339,95.385
1340,113.0666667
1341,115.3816667
1342,110.0133333
1343,97.20683333
1344,82.38066667
1345,93.1045
1346,84.17631667
1347,76.41051667
1348,81.23673333
1349,76.53823333
1350,79.08396667
1351,80.01655
1352,104.9302833
1353,114.38345
1354,125.6355
1355,141.2653333
1356,133.1373333
1357,150.2528333
1358,132.2127333
1359,127.5065
1360,139.0441667
1361,138.9755
1362,106.1241333
1363,121.3726
1364,133.9466667
1365,131.1366667
1366,133.0233333
1367,115.1153333
1368,94.87783333
1369,88.66333333
1370,84.78416667
1371,81.99583333
1372,80.04416667
1373,80.47333333
1374,82.29083333
1375,100.7201667
1376,112.5333333
1377,124.155
1378,136.638
1379,130.3861667
1380,140.9966667
1381,153.7541667
1382,142.1408333
1383,132.8861667
1384,119.6058333
1385,134.155
1386,119.5883333
1387,124.5541667
1388,136.925
1389,134.8583333
1390,119.9833333
1391,121.0833333
1392,100.9141667
1393,80.24225
1394,83.70478333
1395,78.27233333
1396,71.76158333
1397,69.67
1398,71.16175
1399,83.49558333
1400,94.77746667
1401,111.99145
1402,148.6618333
1403,137.2506667
1404,142.2368333
1405,132.3938833
1406,131.5331167
1407,108.6052833
1408,114.07625
1409,129.5392667
1410,111.5062667
1411,114.38175
1412,122.4033333
1413,125.72
1414,132.5458333
1415,101.5705833
1416,97.39483333
1417,87.30498333
1418,85.76336667
1419,74.81291667
1420,83.79605
1421,79.92193333
1422,84.25051667
1423,90.46513333
1424,102.64145
1425,111.9492667
1426,129.388
1427,109.6807667
1428,137.2526833
1429,126.3568833
1430,105.33375
1431,129.51795
1432,140.5081667
1433,134.2128333
1434,139.0241667
1435,133.73
1436,134.545
1437,128.0316667
1438,127.2593333
1439,118.5649167
1440,95.27178333
1441,87.30498333
1442,85.76336667
1443,74.81291667
1444,83.79605
1445,79.92193333
1446,84.25051667
1447,90.46513333
1448,102.64145
1449,111.9492667
1450,129.388
1451,109.6807667
1452,137.2526833
1453,126.3568833
1454,105.33375
1455,129.51795
1456,140.5081667
1457,134.2128333
1458,139.0241667
1459,133.73
1460,134.545
1461,128.0316667
1462,127.2593333
1463,118.5649167
1464,95.27178333
1465,78.53
1466,76.46458333
1467,72.95616667
1468,69.89591667
1469,70.35616667
1470,72.84166667
1471,84.25058333
1472,81.99891667
1473,87.146
1474,88.56093333
1475,108.8105833
1476,115.1826833
1477,114.4319833
1478,105.12625
1479,95.56696667
1480,87.22778333
1481,81.6805
1482,88.13058333
1483,110.7814
1484,115.1216667
1485,114.3791667
1486,110.4464167
1487,98.77558333
1488,94.0205
1489,78.53
1490,76.46458333
1491,72.95616667
1492,69.89591667
1493,70.35616667
1494,72.84166667
1495,84.25058333
1496,81.99891667
1497,87.146
1498,88.56093333
1499,108.8105833
1500,115.1826833
1501,114.4319833
1502,105.12625
1503,95.56696667
1504,87.22778333
1505,81.6805
1506,88.13058333
1507,110.7814
1508,115.1216667
1509,114.3791667
1510,110.4464167
1511,98.77558333
1512,94.0205
1513,87.51216667
1514,78.87901667
1515,84.50696667
1516,83.72121667
1517,79.43341667
1518,89.42148333
1519,94.1582
1520,95.8932
1521,127.9378333
1522,138.0685
1523,124.983
1524,116.0829667
1525,163.086
1526,142.7195
1527,106.4696667
1528,147.7065
1529,135.6908833
1530,113.1252333
1531,130.5091667
1532,147.7908333
1533,128.842
1534,111.5216667
1535,94.50733333
1536,101.60325
1537,96.3624
